Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Corbin Burnes,28,9,5,0.643,3.49,20,20,0,0,0,0,121.1,87,51,47,14,42,0,125,6,0,5,492,124,3.91,1.063,6.5,1,3.1,9.3,2.98,burneco01
2,SP,Freddy Peralta,27,6,7,0.462,4.41,18,18,0,0,0,0,98,83,54,48,16,40,0,113,5,0,3,417,98,4.48,1.255,7.6,1.5,3.7,10.4,2.83,peralfr01
3,SP,Colin Rea,32,5,4,0.556,4.64,17,16,0,0,0,0,85.1,77,46,44,14,26,0,70,3,1,2,359,94,4.8,1.207,8.1,1.5,2.7,7.4,2.69,reaco01
4,SP,Wade Miley* (15-day IL),36,6,2,0.75,3.06,13,13,0,0,0,0,67.2,59,23,23,8,19,0,46,2,0,1,275,142,4.39,1.153,7.8,1.1,2.5,6.1,2.42,mileywa01
5,SP,Adrian Houser,30,3,2,0.6,3.79,12,10,1,0,0,0,57,68,26,24,6,19,0,39,1,0,2,251,115,4.34,1.526,10.7,0.9,3,6.2,2.05,housead01
6,SP,Julio Teheran,32,2,4,0.333,4.01,9,9,0,0,0,0,51.2,46,24,23,8,11,0,35,3,2,0,208,109,4.76,1.103,8,1.4,1.9,6.1,3.18,teherju01
7,CL,Devin Williams,28,4,2,0.667,1.69,38,0,32,0,0,24,37.1,19,8,7,3,18,1,52,0,0,0,147,259,2.99,0.991,4.6,0.7,4.3,12.5,2.89,willide03
8,RP,Joel Payamps,29,3,1,0.75,1.79,43,0,7,0,0,3,45.1,33,11,9,5,8,0,53,3,2,1,177,244,3.11,0.904,6.6,1,1.6,10.5,6.63,payamjo01
9,RP,Hoby Milner*,32,2,0,1,2.31,44,0,1,0,0,0,39,33,10,10,4,9,0,36,2,0,0,154,189,3.62,1.077,7.6,0.9,2.1,8.3,4,milneho01
10,RP,Elvis Peguero,26,1,2,0.333,2.84,36,0,5,0,0,1,38,28,13,12,1,14,0,34,4,0,0,154,154,3.26,1.105,6.6,0.2,3.3,8.1,2.43,pegueel01
11,RP,Peter Strzelecki (40-man),28,3,5,0.375,4.54,36,0,5,0,0,0,35.2,32,18,18,3,10,1,37,8,0,0,156,96,3.82,1.178,8.1,0.8,2.5,9.3,3.7,strzepe01
12,,Bryse Wilson,25,3,0,1,2.68,31,0,10,0,0,3,43.2,34,15,13,3,12,0,35,1,0,4,177,163,3.47,1.053,7,0.6,2.5,7.2,2.92,wilsobr02
13,,Eric Lauer* (40-man),28,4,5,0.444,5.48,9,8,1,0,0,0,42.2,45,31,26,13,20,0,41,0,0,0,187,80,6.73,1.523,9.5,2.7,4.2,8.6,2.05,lauerer01
14,,Trevor Megill,29,1,0,1,4.6,15,0,5,0,0,0,15.2,16,8,8,0,7,0,21,1,0,2,70,96,2.14,1.468,9.2,0,4,12.1,3,megiltr01
15,,Brandon Woodruff (60-day IL),30,1,0,1,0.79,2,2,0,0,0,0,11.1,7,1,1,1,3,0,12,0,0,0,42,562,3.11,0.882,5.6,0.8,2.4,9.5,4,woodrbr01
16,,Matt Bush,37,0,2,0,9.58,12,0,4,0,0,1,10.1,11,11,11,5,6,0,10,0,0,0,48,47,9.38,1.645,9.6,4.4,5.2,8.7,1.67,bushma01
17,,Tyson Miller,27,0,0,,5.79,7,0,6,0,0,0,9.1,9,6,6,2,3,0,7,1,0,1,41,78,5.86,1.286,8.7,1.9,2.9,6.8,2.33,millety01
18,,Jake Cousins (40-man),28,0,0,,4.82,9,0,4,0,0,0,9.1,10,5,5,1,10,0,7,0,0,2,45,93,6.39,2.143,9.6,1,9.6,6.8,0.7,cousija01
19,,Gus Varland,26,0,0,,11.42,8,0,1,0,0,0,8.2,15,12,11,3,8,0,6,1,0,0,51,39,9.52,2.654,15.6,3.1,8.3,6.2,0.75,varlagu01
20,,Javy Guerra,27,0,0,,8.64,8,0,6,0,0,0,8.1,10,8,8,1,9,2,5,2,0,2,45,52,7.61,2.28,10.8,1.1,9.7,5.4,0.56,guerrja02
21,,Janson Junk (40-man),27,0,1,0,7.71,1,1,0,0,0,0,4.2,7,5,4,1,2,0,2,0,0,0,24,60,6.5,1.929,13.5,1.9,3.9,3.9,1,junkja01
22,,Abner Uribe,23,0,0,,2.08,3,0,2,0,0,0,4.1,3,1,1,0,1,0,7,0,1,0,17,225,0.75,0.923,6.2,0,2.1,14.5,7,uribeab01
23,,Ethan Small* (40-man),26,0,0,,15,1,0,0,0,0,0,3,9,5,5,1,0,0,5,0,0,1,18,32,4.29,3,27,3,0,15,,smallet01
